region,name,style,area,orientation,elevator,floor,build_year,sign_time,total_price,unit_price,subway
鼓楼,锦江花苑,2室1厅,68.23平米,南 北 ," 有电梯",高楼层(共12层),2002年建板楼,2018.05.21,538,78851,
鼓楼,锦江花苑,3室2厅,143.48平米,南 北 ," 有电梯",高楼层(共14层),2002年建板楼,2018.03.23,642,44745,
鼓楼,锦江花苑,2室2厅,98.43平米,南 北 ," 有电梯",低楼层(共12层),2002年建板楼,2018.02.28,530,53846,
鼓楼,锦江花苑,2室1厅,68.23平米,南 北 ," 有电梯",低楼层(共12层),2002年建板楼,2016.09.29,322.8,47311,
鼓楼,锦江花苑,3室2厅,136.41平米,南 北 ," 有电梯",中楼层(共14层),2002年建板楼,2016.08.14,527,38634,
鼓楼,锦江花苑,3室2厅,138.75平米,南 北 ," 有电梯",低楼层(共14层),2002年建板楼,2016.05.06,500,36037,
鼓楼,锦江花苑,3室2厅,128.11平米,东 南 北 ," 无电梯",高楼层(共6层),2002年建板楼,2015.12.12,385,30053,
鼓楼,锦江花苑,3室2厅,106平米,南 北 ," 有电梯",低楼层(共12层),2002年建板楼,2015.12.05,324,30567,
鼓楼,锦江花苑,2室2厅,95.37平米,南 北 ," 无电梯",中楼层(共6层),2002年建板楼,2015.11.24,326,34183,
鼓楼,锦江花苑,3室2厅,96.52平米,南 ," 无电梯",高楼层(共6层),2002年建板楼,2015.11.20,325,33672,
鼓楼,锦江花苑,4室2厅,157.4平米,南 北 ," 无电梯",中楼层(共6层),2002年建板楼,2015.10.25,426,27065,
鼓楼,锦江花苑,2室1厅,68.23平米,南 ," 有电梯",高楼层(共12层),2002年建板楼,2015.10.19,231.5,33930,
鼓楼,锦江花苑,2室1厅,95.37平米,南 北 ," 无电梯",低楼层(共6层),2002年建板楼,2015.09.09,299.5,31405,
鼓楼,锦江花苑,2室1厅,68.1平米,南 ," 有电梯",中楼层(共12层),2002年建板楼,2015.08.08,220,32306,
鼓楼,锦江花苑,3室1厅,81.73平米,南 ," 有电梯",高楼层(共12层),2002年建板楼,2015.07.16,241,29488,
鼓楼,锦江花苑,2室1厅,75.81平米,南 北 ," 有电梯",高楼层(共12层),2002年建板楼,2015.06.30,233,30735,
鼓楼,锦江花苑,2室2厅,95.37平米,南 北 ," 无电梯",未知(共6层),2002年建板楼,2015.06.14,282,29570,
鼓楼,锦江花苑,2室1厅,72.25平米,南 北 ," 有电梯",高楼层(共12层),2002年建板楼,2014.02.12,226,31281,
鼓楼,锦江花苑,2室1厅,72.25平米,南 北 ," 有电梯",中楼层(共12层),2002年建板楼,2013.09.25,235,32526,
鼓楼,锦江花苑,2室1厅,95.37平米,南 北 ," 无电梯",中楼层(共6层),2002年建板楼,2013.03.13,262,27472,
鼓楼,锦江花苑,3室2厅,131.61平米,南 西 ," 有电梯",中楼层(共14层),2002年建板楼,2013.01.27,303,23023,
鼓楼,锦江花苑,2室2厅,95.37平米,南 北 ," 无电梯",未知(共6层),2002年建板楼,2012.10.16,0.1,3,
鼓楼,锦江花苑,2室2厅,98.43平米,南 北 ," 有电梯",中楼层(共12层),2002年建板楼,2012.08.06,200,20320,
鼓楼,盐仓桥东街小区,2室1厅,52.06平米,南 北 ," 无电梯",中楼层(共7层),1997年建板塔结合,2017.10.16,139,26700,
鼓楼,盐仓桥东街小区,2室1厅,65.74平米,南 ," 无电梯",高楼层(共7层),1997年建板塔结合,2017.04.08,143.8,21875,
鼓楼,盐仓桥东街小区,2室1厅,50.21平米,南 ," 无电梯",高楼层(共7层),1997年建板塔结合,2016.05.09,82,16332,
鼓楼,北京西路,2室0厅,43.64平米,南 北 ," 无电梯",低楼层(共7层),1995年建板楼,2015.03.06,84,19249,距4号线南艺·二师·草场门3米
鼓楼,北京西路79号,3室1厅,67.2平米,南 ," 无电梯",低楼层(共5层),1985年建板楼,2014.12.25,126,18750,距4号线南艺·二师·草场门354米
鼓楼,北京西路76号,3室1厅,66.4平米,东 南 北 ," 无电梯",中楼层(共6层),1980年建板楼,2014.12.15,134.2,20211,距4号线南艺·二师·草场门590米
鼓楼,北京西路,3室1厅,110.42平米,南 ," 无电梯",低楼层(共7层),1990年建板楼,2014.11.05,157,14219,距4号线云南路222米
鼓楼,安怀村,2室1厅,56.69平米,南 北 ," 无电梯",高楼层(共7层),1990年建板楼,2018.07.06,143,25225,距3号线小市569米
鼓楼,安怀村,2室2厅,62.64平米,南 北 ," 无电梯",中楼层(共7层),1990年建板楼,2018.01.14,152,24266,
鼓楼,安怀村,2室1厅,64.75平米,南 北 ," 无电梯",中楼层(共7层),1990年建板楼,2017.08.20,130,20078,距3号线小市498米
鼓楼,安怀村,2室1厅,67.84平米,南 北 ," 无电梯",高楼层(共7层),1990年建板塔结合,2017.04.25,145,21374,距3号线小市578米
鼓楼,水佐岗48巷3号,1室1厅,32.8平米,北 ," 无电梯",低楼层(共3层),板楼,2018.01.22,126,38415,
鼓楼,水佐岗48巷3号,2室1厅,60.67平米,东 西 ," 有电梯",中楼层(共7层),1999年建板楼,2017.06.06,171.5,28268,
鼓楼,水佐岗48巷3号,1室1厅,32.5平米,北 ," 无电梯",低楼层(共3层),1960年建板楼,2016.10.07,92,28308,
鼓楼,水佐岗48巷3号,2室1厅,57.21平米,南 北 ," 有电梯",低楼层(共7层),1999年建板楼,2016.09.26,149.8,26185,
鼓楼,水佐岗48巷3号,3室1厅,88.62平米,南 北 ," 无电梯",高楼层(共7层),1999年建板楼,2016.08.27,212,23923,
鼓楼,紫竹林28号,3室2厅,92.8平米,南 北 ," 无电梯",中楼层(共5层),2000年建板塔结合,2016.12.14,322,34699,
鼓楼,紫竹林28号,3室2厅,75.12平米,南 北 ," 无电梯",高楼层(共7层),2000年建板塔结合,2016.08.29,195.5,26026,
鼓楼,紫竹林28号,2室2厅,74.73平米,南 北 ," 无电梯",低楼层(共6层),2000年建板塔结合,2016.08.27,205,27433,
鼓楼,紫竹林28号,3室2厅,74.88平米,南 北 ," 无电梯",高楼层(共7层),2000年建板塔结合,2016.06.19,191.5,25575,
鼓楼,紫竹林28号,2室1厅,74.88平米,南 北 ," 无电梯",中楼层(共7层),2000年建板塔结合,2016.02.14,190,25374,
鼓楼,北京西路76号,3室1厅,62.75平米,南 北 ," 无电梯",高楼层(共6层),1980年建板楼,2018.05.26,219,34901,距4号线南艺·二师·草场门590米
鼓楼,北京西路,2室1厅,54.65平米,东 西 ," 无电梯",高楼层(共7层),1989年建板楼,2018.05.01,125,22873,距4号线南艺·二师·草场门143米
鼓楼,北京西路76号,2室1厅,62.85平米,南 ," 无电梯",低楼层(共6层),1980年建板楼,2017.09.24,208,33095,
鼓楼,北京西路10号,2室1厅,54.87平米,东 西 ," 无电梯",中楼层(共6层),1990年建板楼,2017.07.07,143,26062,距4号线云南路266米
鼓楼,北京西路10号,2室1厅,66.28平米,南 ," 无电梯",高楼层(共6层),1990年建板楼,2017.05.11,181,27309,
鼓楼,北京西路76号,3室1厅,68.58平米,南 北 ," 无电梯",低楼层(共6层),1980年建板楼,2017.03.13,220,32080,距4号线南艺·二师·草场门187米
鼓楼,北京西路,1室1厅,41.83平米,南 ," 无电梯",低楼层(共6层),1989年建板楼,2017.02.26,112.5,26895,
鼓楼,北京西路76号,2室1厅,59.25平米,南 ," 无电梯",中楼层(共6层),1995年建板楼,2017.01.08,179.5,30296,
鼓楼,北京西路79号,2室1厅,64.29平米,南 北 ," 无电梯",高楼层(共5层),1983年建板楼,2016.12.18,157,24421,距4号线南艺·二师·草场门276米
鼓楼,北京西路76号,2室1厅,59.25平米,南 ," 无电梯",低楼层(共6层),1995年建板楼,2016.11.24,163.5,27595,
鼓楼,北京西路76号,3室1厅,69.03平米,南 北 ," 无电梯",中楼层(共6层),1990年建板楼,2016.11.18,203.8,29524,距4号线南艺·二师·草场门534米
鼓楼,北京西路,2室0厅,44.33平米,南 北 ," 无电梯",低楼层(共6层),1995年建板楼,2016.09.20,106,23912,距4号线南艺·二师·草场门120米
鼓楼,北京西路76号,2室1厅,58.92平米,南 ," 无电梯",高楼层(共6层),1995年建板楼,2016.09.11,139.5,23677,距4号线南艺·二师·草场门147米
鼓楼,北京西路,2室1厅,59.16平米,南 ," 无电梯",中楼层(共7层),1990年建板楼,2016.09.11,130,21975,距4号线南艺·二师·草场门132米
鼓楼,北京西路76号,2室1厅,58平米,东 南 北 ," 无电梯",低楼层(共6层),1980年建板楼,2016.08.31,139,23966,距4号线南艺·二师·草场门319米
鼓楼,北京西路,4室3厅,89.7平米,南 北 ," 无电梯",高楼层(共6层),1990年建板楼,2016.08.29,307.5,34281,距4号线南艺·二师·草场门374米
鼓楼,北京西路,3室2厅,75.04平米,南 北 ," 无电梯",高楼层(共7层),1990年建板楼,2016.08.25,198,26386,距4号线云南路272米
鼓楼,北京西路,2室2厅,79.49平米,南 ," 无电梯",高楼层(共7层),1990年建板楼,2016.07.14,182,22896,距4号线南艺·二师·草场门187米
鼓楼,北京西路,3室2厅,60.83平米,南 ," 无电梯",高楼层(共7层),1990年建板楼,2016.07.03,179,29427,距1号线鼓楼271米
鼓楼,北京西路,2室1厅,59平米,南 ," 无电梯",中楼层(共7层),1990年建板楼,2016.05.31,162,27458,
鼓楼,北京西路76号,2室1厅,66.8平米,南 ," 无电梯",高楼层(共6层),1980年建板楼,2016.03.28,138.5,20734,距4号线南艺·二师·草场门408米
鼓楼,北京西路76号,2室1厅,58.55平米,南 ," 无电梯",低楼层(共7层),1980年建板楼,2016.03.08,117,19983,距4号线南艺·二师·草场门269米
鼓楼,北京西路76号,2室1厅,63平米,南 ," 无电梯",高楼层(共6层),1980年建板楼,2015.12.15,130,20635,
鼓楼,北京西路,2室1厅,56.5平米,南 ," 无电梯",低楼层(共7层),1990年建板楼,2015.12.14,97,17169,
鼓楼,北京西路79号,2室1厅,60平米,南 北 ," 无电梯",中楼层(共5层),1985年建板楼,2015.11.30,120,20000,距4号线南艺·二师·草场门279米
鼓楼,北京西路10号,2室1厅,67.37平米,南 ," 无电梯",高楼层(共6层),1990年建板楼,2015.11.22,124,18406,
鼓楼,北京西路76号,2室1厅,58.55平米,南 ," 无电梯",低楼层(共7层),1980年建板楼,2015.11.05,119,20325,
鼓楼,北京西路10号,2室1厅,54.05平米,东 南 ," 无电梯",高楼层(共6层),1990年建板楼,2015.10.06,95,17577,
鼓楼,北京西路79号,3室1厅,67.2平米,南 北 ," 无电梯",中楼层(共5层),1985年建板楼,2015.10.04,142,21131,距4号线南艺·二师·草场门354米
鼓楼,北京西路,3室1厅,93.25平米,南 北 ," 无电梯",中楼层(共5层),1990年建板楼,2015.08.28,230,24665,
建邺,湖西村,3室2厅,118.51平米,南 北 ," 无电梯",高楼层(共7层),1998年建板楼,2017.04.24,264.6,22328,距2号线集庆门大街1150米
